Id;Name; Latitude ; Longitude ;Height (m);Active; AirPreasureStation ;link
87440;Landsort A; 58.74 ; 17.87 ;17.484;Ja; 9-87440-Landsort_A.csv ;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/9/station/87440/period/corrected-archive/data.csv
72420;Landvetter Flygplats; 57.68 ; 12.29 ;154;Ja; 9-72420-Landvetter_Flygplats.csv ;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/9/station/72420/period/corrected-archive/data.csv
192710;Lannavaara; 68.05 ; 21.98 ;630;Nej; 9-192710-Lannavaara.csv ;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/9/station/192710/period/corrected-archive/data.csv
126310;Ljungaverk; 62.49 ; 16.07 ;85;Nej; 9-126310-Ljungaverk.csv ;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/9/station/126310/period/corrected-archive/data.csv
63500;Ljungby; 56.83 ; 13.95 ;145;Nej; 9-63500-Ljungby.csv ;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/9/station/63500/period/corrected-archive/data.csv
63050;Ljungbyhed; 56.08 ; 13.23 ;43;Nej; 9-63050-Ljungbyhed.csv ;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/9/station/63050/period/corrected-archive/data.csv
123070;Lofsdalen; 62.11 ; 13.28 ;605;Nej; 9-123070-Lofsdalen.csv ;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/9/station/123070/period/corrected-archive/data.csv
162860;Luleå Flygplats; 65.54 ; 22.12 ;19.9;Ja; 9-162860-Luleå_Flygplats.csv ;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/9/station/162860/period/corrected-archive/data.csv
53430;Lund; 55.71 ; 13.20 ;50;Nej; 9-53430-Lund.csv ;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/9/station/53430/period/corrected-archive/data.csv
83460;Lurö; 58.79 ; 13.25 ;55;Nej; 9-83460-Lurö.csv ;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/9/station/83460/period/corrected-archive/data.csv
148330;Lycksele A; 64.55 ; 18.71 ;210.07;Ja; 9-148330-Lycksele_A.csv ;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/9/station/148330/period/corrected-archive/data.csv
102190;Lämbacken; 60.31 ; 12.70 ;177;Nej; 9-102190-Lämbacken.csv ;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/9/station/102190/period/corrected-archive/data.csv
127140;Lörudden; 62.23 ; 17.66 ;2;Nej; 9-127140-Lörudden.csv ;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/9/station/127140/period/corrected-archive/data.csv
53220;Maglarp Aut; 55.38 ; 13.06 ;17;Nej; 9-53220-Maglarp_Aut.csv ;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/9/station/53220/period/corrected-archive/data.csv
85040;Malexander; 58.07 ; 15.24 ;195;Nej; 9-85040-Malexander.csv ;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/9/station/85040/period/corrected-archive/data.csv
