Id;Name; Latitude ; Longitude ;Height (m);Active;PrecipStation;PrecipLink
155710;Blaikliden;65.05;15.75;520;Nej;5-155710-Blaikliden.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/5/station/155710/period/corrected-archive/data.csv
94350;Blankafors;59.53;14.72;160;Nej;5-94350-Blankafors.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/5/station/94350/period/corrected-archive/data.csv
75140;Blankaström;57.22;15.92;80;Nej;5-75140-Blankaström.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/5/station/75140/period/corrected-archive/data.csv
157800;Blattnicksele;65.34;17.46;370;Nej;5-157800-Blattnicksele.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/5/station/157800/period/corrected-archive/data.csv
92170;Blomskog;59.29;12.05;110;Nej;5-92170-Blomskog.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/5/station/92170/period/corrected-archive/data.csv
92130;Blomskog A;59.22;12.08;169.645;Ja;5-92130-Blomskog_A.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/5/station/92130/period/corrected-archive/data.csv
92550;Blåbärskullen;59.83;12.88;350;Nej;5-92550-Blåbärskullen.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/5/station/92550/period/corrected-archive/data.csv
62720;Boarp;56.33;12.93;90;Nej;5-62720-Boarp.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/5/station/62720/period/corrected-archive/data.csv
78050;Bobbenarve;57.03;18.28;8;Nej;5-78050-Bobbenarve.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/5/station/78050/period/corrected-archive/data.csv
117640;Boda;61.58;17;40;Nej;5-117640-Boda.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/5/station/117640/period/corrected-archive/data.csv
161940;Boden Mo;65.81;21.64;25.2;Ja;5-161940-Boden_Mo.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/5/station/161940/period/corrected-archive/data.csv
170630;Bodträskfors;66.08;20.93;30;Nej;5-170630-Bodträskfors.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/5/station/170630/period/corrected-archive/data.csv
102040;Bogen;60.06;12.56;245;Nej;5-102040-Bogen.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/5/station/102040/period/corrected-archive/data.csv
