Id;Name; Latitude ; Longitude ;Height_m;Active; TempMean ; TempMinStation ; TempMaxStation ; TempMeanLink ; TempMinLink ; TempMaxLink ;;
95490;Riddarhyttan; 59.81 ; 15.56 ;155;Nej; 2-95490-Riddarhyttan.csv ; 19-95490-Riddarhyttan.csv ; 20-Riddarhyttan-59.8085.csv ;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/2/station/95490/period/corrected-archive/data.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/19/station/95490/period/corrected-archive/data.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/20/station/95490/period/corrected-archive/data.csv;;
75380;Hässleby; 57.63 ; 15.57 ;190;Nej; 2-75380-Hässleby.csv ; 19-75380-Hässleby.csv ; 20-Hässleby-57.6295.csv ;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/2/station/75380/period/corrected-archive/data.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/19/station/75380/period/corrected-archive/data.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/20/station/75380/period/corrected-archive/data.csv;;
65510;Kosta Mo; 56.84 ; 15.47 ;230;Ja; 2-65510-Kosta_Mo.csv ; 19-65510-Kosta_Mo.csv ; 20-Kosta Mo-56.841.csv ;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/2/station/65510/period/corrected-archive/data.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/19/station/65510/period/corrected-archive/data.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/20/station/65510/period/corrected-archive/data.csv;;
64330;Ekefors; 56.55 ; 14.76 ;145;Nej; 2-64330-Ekefors.csv ; 19-64330-Ekefors.csv ; 20-Ekefors-56.5546.csv ;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/2/station/64330/period/corrected-archive/data.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/19/station/64330/period/corrected-archive/data.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/20/station/64330/period/corrected-archive/data.csv;;
125470;Bensjö; 62.71 ; 15.47 ;310;No; 2-125470-Bensjö.csv ; 19-125470-Bensjö.csv ; 20-Bensjö-62.7139.csv ;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/2/station/125470/period/corrected-archive/data.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/19/station/125470/period/corrected-archive/data.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/20/station/125470/period/corrected-archive/data.csv;;
85280;Skärkind; 58.47 ; 16.00 ;60;Nej; 2-85280-Skärkind.csv ; 19-85280-Skärkind.csv ; 20-Skärkind-58.472.csv ;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/2/station/85280/period/corrected-archive/data.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/19/station/85280/period/corrected-archive/data.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/20/station/85280/period/corrected-archive/data.csv;;
92400;Arvika; 59.67 ; 12.59 ;77;No; 2-92400-Arvika.csv ; 19-92400-Arvika.csv ; 20-Arvika-59.6658.csv ;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/2/station/92400/period/corrected-archive/data.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/19/station/92400/period/corrected-archive/data.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/20/station/92400/period/corrected-archive/data.csv;;
81640;Ursholmen; 58.83 ; 11.00 ;6;Nej; 2-81640-Ursholmen.csv ; 19-81640-Ursholmen.csv ; 20-Ursholmen-58.8333.csv ;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/2/station/81640/period/corrected-archive/data.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/19/station/81640/period/corrected-archive/data.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/20/station/81640/period/corrected-archive/data.csv;;
65730;Ronneby; 56.20 ; 15.28 ;10;Nej; 2-65730-Ronneby.csv ; 19-65730-Ronneby.csv ; 20-Ronneby-56.2.csv ;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/2/station/65730/period/corrected-archive/data.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/19/station/65730/period/corrected-archive/data.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/20/station/65730/period/corrected-archive/data.csv;;
62140;Nyhamnsläge; 56.25 ; 12.54 ;12.454;Ja; 2-62140-Nyhamnsläge.csv ; 19-62140-Nyhamnsläge.csv ; 20-Nyhamnsläge-56.2451.csv ;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/2/station/62140/period/corrected-archive/data.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/19/station/62140/period/corrected-archive/data.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/20/station/62140/period/corrected-archive/data.csv;;
84340;Ax steel Mo; 58.57 ; 14.56 ;88.5;Yes; 2-84340-Ax_steel_Mo.csv ; 19-84340-Ax_steel_Mo.csv ; 20-Ax steel Mo-58571.csv ;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/2/station/84340/period/corrected-archive/data.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/19/station/84340/period/corrected-archive/data.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/20/station/84340/period/corrected-archive/data.csv;;
105230;Idkerberget; 60.38 ; 15.23 ;260;Nej; 2-105230-Idkerberget.csv ; 19-105230-Idkerberget.csv ; 20-Idkerberget-60.3758.csv ;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/2/station/105230/period/corrected-archive/data.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/19/station/105230/period/corrected-archive/data.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/20/station/105230/period/corrected-archive/data.csv;;
107270;Untra; 60.44 ; 17.34 ;35;Nej; 2-107270-Untra.csv ; 19-107270-Untra.csv ; 20-Untra-60.4393.csv ;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/2/station/107270/period/corrected-archive/data.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/19/station/107270/period/corrected-archive/data.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/20/station/107270/period/corrected-archive/data.csv;;
