InputID,TargetID,Distance
10_Hällehult,98735,309828.749528742
10_Hällehult,132165,762011.159259693
10_Hällehult,99275,358045.159824612
10_Hällehult,178985,1248960.40447293
10_Hällehult,140615,817099.302330231
10_Hällehult,78645,166955.359237154
10_Hällehult,64565,88323.4368983359
10_Hällehult,77215,89326.0219040216
10_Hällehult,134615,723411.015147641
11_Ökalix,105285,733769.072926033
11_Ökalix,71415,1100782.63166584
11_Ökalix,68545,1064260.59069277
11_Ökalix,93235,895593.753043599
11_Ökalix,180025,203599.526993435
11_Ökalix,162015,81014.1568175053
11_Ökalix,53445,1275669.57514502
11_Ökalix,81525,1010515.51875197
11_Ökalix,86655,915427.167888769
11_Ökalix,98735,801500.161864873
11_Ökalix,132165,596660.166602433
11_Ökalix,99275,773681.372457196
11_Ökalix,178985,255976.399347262
11_Ökalix,140615,292848.838809366
11_Ökalix,78645,980101.111180479
11_Ökalix,64565,1116562.96180823
11_Ökalix,77215,1029080.25028565
11_Ökalix,134615,514639.818853326
12_Ökalix,105285,734007.659071214
12_Ökalix,71415,1101010.93732758
12_Ökalix,68545,1064555.7844909
12_Ökalix,93235,895820.742312882
12_Ökalix,180025,203287.055634537
12_Ökalix,162015,81303.0954854761
12_Ökalix,53445,1275926.3925056
12_Ökalix,81525,1010717.12383857
12_Ökalix,86655,915695.403034951
12_Ökalix,98735,801784.729406946
12_Ökalix,132165,596760.634121498
12_Ökalix,99275,773980.380506371
12_Ökalix,178985,255695.95726521
12_Ökalix,140615,293119.084742641
12_Ökalix,78645,980395.619497483
12_Ökalix,64565,1116827.17363596
12_Ökalix,77215,1029364.93746824
12_Ökalix,134615,514787.412264844
13_Ökalix,105285,734073.308573415
13_Ökalix,71415,1101064.25835989
13_Ökalix,68545,1064701.05274042
13_Ökalix,93235,895872.534599061
13_Ökalix,180025,203018.681729081
13_Ökalix,162015,81438.5623120411
13_Ökalix,53445,1276015.0422221
13_Ökalix,81525,1010740.34488964
13_Ökalix,86655,915799.501435658
13_Ökalix,98735,801912.762517905
13_Ökalix,132165,596686.248443807
13_Ökalix,99275,774132.319706316
13_Ökalix,178985,255416.477516242
13_Ökalix,140615,293226.131000933
13_Ökalix,78645,980539.725038534
13_Ökalix,64565,1116925.72030285
13_Ökalix,77215,1029493.14195761
13_Ökalix,134615,514755.892994349
14_Höglund,105285,562661.756679127
14_Höglund,71415,929391.17749419
